Status,Years,Home_Size
Married,29,1842
Married,13,2800
Married,28,2000
Married,21,2434
Single,0,500
Married,11,1600
Married,5,2600
Married,21,2100
Divorced,0,2209
Married,34,2100
Married,1,1200
Married,6,1638
Married,32,2100
Single,0,1200
Married,32,1600
Married,9,3580
Married,33,2200
Single,0,800
Married,23,1260
Married,28,3400
Married,2,1460
Married,27,2035
Married,15,3800
Married,20,5200
Married,25,"4,400"
Married,16,2500
Married,25,5500
Married,17,2000
Married,2,1800
Married,20,1650
Married,6,1535
Married,14,2800
Married,4,1415
Married,8,1734
Single,0,1400
Married,12,2082
Married,5,2400
Married,23,2200
Married,4,2300
Married,4,1600
Married,16,2500
Married,1,1900
Married,17,3800
Divorced,0,1120
Married,14,5000
Married,9,2900
Married,12,2060
Married,10,3500
Married,6,2900
Married,4,1200
Married,24,3600
Divorced,0,1497
Married,6,1300
Married,24,2300
Single,0,1780
Married,42,2800
Married,3,1300
Married,5,1816
Married,37,1680
Married,3,1908
Single,0,1250
Married,42,2500
Married,31,2600
Married,10,2700
Married,18,3200
Married,11,1052
Married,6,2400
Married,1,2200
Married,15,2480
Married,23,1800
Married,11,3250
Married,42,3300
Married,1,1300
Married,20,3000
Married,12,1656
Married,17,2275
Married,2,1600
Married,23,2300
Married,19,2500
Married,20,2400
Married,20,1800
Married,25,1350
Single,0,1300
Married,23,1750
Married,5,2000
Married,20,"3,100"
Married,28,1600
Married,8,1700
Married,12,2200
Married,25,2600
Married,4,1200
Married,4,800
Married,30,1750
Married,1,1700
Married,8,2800
Married,0,2000
Married,16,1300
Married,23,5000
Divorced,0,1500
Married,21,1280
Married,22,3100
Married,2,1900
Married,7,1848
Married,1,1100
Married,6,1068
Married,9,1200
Married,29,2000
Married,3,900
Married,33,1800
Married,27,2000
Divorced,0,200
Married,54,1750
Married,1,1450
Single,0,1516
Married,55,2100
Married,8,2700
Married,9,"2,000"
Married,1,988
Married,31,2600
Married,2,1100
Single,0,780
Married,3,1800
Married,36,1152
Married,15,1800
Divorced,0,1100
Married,8,2900
Married,36,2800
Married,6,1280
Married,7,2687
Single,0,1006
Married,17,2600
Single,0,4300
Married,16,4000
Married,8,"1,000"
Married,2,1850
Married,0,1300
Single,0,1200
Married,22,2100
Married,11,1998
Divorced,0,1500
Married,10,1850
Married,14,1980
Divorced,0,2200
Married,5,1870
Divorced,0,875
Married,26,1250
Married,28,5000
Married,2,1948
Married,6,2248
Married,34,1800
Single,0,1586
Married,24,1800
Divorced,0,1723
Married,30,1641
Single,0,450
Married,13,"2,200"
